Squad Code,Text
90f3beec,Raoul-Petretta-Match-Logs
56f64435,Ivan-Franco-Match-Logs
5d018899,Jared-Stroud-Match-Logs
f86fe8c1,Cristian-Casseres-Jr-Match-Logs
2d0d1442,Corey-Baird-Match-Logs
fe5fea9f,Kipp-Keller-Match-Logs
a94bad97,Nigel-Robertha-Match-Logs
4d6ec370,Thiago-Martins-Match-Logs
bf4d31d3,Giacomo-Vrioni-Match-Logs
3b9f859b,Shaquell-Moore-Match-Logs
64796fe0,Caleb-Wiley-Match-Logs
ae34c71d,Justin-Meram-Match-Logs
b8f47d7c,Patrick-Schulte-Match-Logs
9c07bdc7,Jack-Skahan-Match-Logs
e6f22a6b,Luis-Barraza-Match-Logs
3bd3bcc4,Alexandru-Matan-Match-Logs
7e1dbecf,Andres-Perea-Match-Logs
7.97E+10,Sunusi-Ibrahim-Match-Logs
f8280175,Andy-Najar-Match-Logs
2b5801d0,Jake-Nerwinski-Match-Logs
3e9ae1db,Julian-Carranza-Match-Logs
2d496ca3,Anibal-Godoy-Match-Logs
4a78c769,Cameron-Harper-Match-Logs
5fa7b2ec,Jeremy-Ebobisse-Match-Logs
9a6f8dfd,Alejandro-Bedoya-Match-Logs
b7a23251,Andrew-Gutman-Match-Logs
c6d233e3,Ian-Murphy-Match-Logs
d338191d,Shanyder-Borgelin-Match-Logs
33e46323,Andrew-Brody-Match-Logs
70106ff6,Jonathan-Osorio-Match-Logs
54c948de,Brian-White-Match-Logs
2e8bd00c,Frankie-Amaya-Match-Logs
fd5e3a73,Michael-Bradley-Match-Logs
e73f0aa1,Josef-Martinez-Match-Logs
c1f0fb45,Paxton-Pomykal-Match-Logs
6a1940d5,Brad-Stuver-Match-Logs
959686eb,Nick-Lima-Match-Logs
960a4473,William-Sands-Match-Logs
a61d2c1a,Franco-Negri-Match-Logs
8c395868,Andre-Shinyashiki-Match-Logs
be84c466,Mikael-Uhre-Match-Logs
e0900238,Victor-Wanyama-Match-Logs
1ee0513b,Jean-Mota-Match-Logs
758de7b4,Kerwin-Vargas-Match-Logs
5.51E+06,Pablo-Sisniega-Match-Logs
9ca4b140,Ema-Twumasi-Match-Logs
068be155,Damir-Kreilach-Match-Logs
da0bb55a,Paul-Marie-Match-Logs
0ffd4373,Chris-Durkin-Match-Logs
b7cc83e3,Celio-Martins-Match-Logs
1f462f95,Luis-Abram-Match-Logs
f6315619,Olivier-Mbaizo-Match-Logs
9f39b6cf,Ethan-Zubak-Match-Logs
789da0f2,Pedro-Santos-Match-Logs
39632554,Nick-Hagglund-Match-Logs
e16db703,Kyle-Hiebert-Match-Logs
41ba8175,Sebastien-Ibeagha-Match-Logs
041deebd,Jack-Elliott-Match-Logs
fafeaf3d,Luca-Petrasso-Match-Logs
7e1046fa,Thorleifur-Ulfarsson-Match-Logs
ffca53e1,Alvaro-Barreal-Match-Logs
2c1025bf,Alex-Muyl-Match-Logs
bcb2282d,Lassi-Lappalainen-Match-Logs
92442794,Harvey-Neville-Match-Logs
09538c47,Franco-Fragapane-Match-Logs
61f7e18e,Miguel-Perez-Match-Logs
1e159d70,Yerson-Mosquera-Match-Logs
5439dba0,Sebastian-Ferreira-Match-Logs
192c89a6,Braian-Cufre-Match-Logs
ca366055,Maxime-Chanot-Match-Logs
67f5e064,Rodrigues-Match-Logs
8087e6cb,Jonathan-Mensah-Match-Logs
bd7b916c,Ariel-Lassiter-Match-Logs
42ba8628,Roman-Celentano-Match-Logs
0646bd8a,Kamal-Miller-Match-Logs
9d12e142,Roman-Burki-Match-Logs
0d2fe665,Omar-Gonzalez-Match-Logs
71b47ab9,Cucho-Match-Logs
91721722,Jefferson-Savarino-Match-Logs
a930b263,Sergio-Santos-Gomes-Match-Logs
b7b6e781,David-Romney-Match-Logs
2af71023,Joseph-Mora-Match-Logs
54f33d0e,Franco-Escobar-Match-Logs
9f0f5d15,Wilder-Cartagena-Match-Logs
26637ac8,Steve-Birnbaum-Match-Logs
55a5d959,Ivan-Angulo-Match-Logs
a72d14de,Dylan-Borrero-Match-Logs
04cc9edd,Maikel-Chang-Match-Logs
33c69aa0,Robin-Lod-Match-Logs
b59f0060,Matias-Pellegrini-Match-Logs
a1216563,Emiliano-Rigoni-Match-Logs
a1ed5354,Miguel-Tapias-Match-Logs
93b56ba5,Leo-Vaisanen-Match-Logs
276fdbe4,Richie-Laryea-Match-Logs
5dcb4ac4,Junior-Moreno-Match-Logs
380ee265,Sean-Zawadzki-Match-Logs
f10983ae,Steven-Moreira-Match-Logs
39859fa1,Leon-Flach-Match-Logs
c4041fbc,Nathan-Byrne-Match-Logs
c82dcb70,Joaquin-Torres-Match-Logs
10d1139c,DeJuan-Jones-Match-Logs
31faf295,Bryan-Oviedo-Match-Logs
73019c31,Sebastian-Lletget-Match-Logs
f006a9b3,Ryan-Raposo-Match-Logs
149d8165,Christopher-McVey-Match-Logs
64c98878,Talles-Magno-Match-Logs
85937928,Luquinhas-Match-Logs
9fc0f253,Matt-Miazga-Match-Logs
36ab14f5,Andres-Reyes-Match-Logs
6ad5f50e,Michael-Halliday-Match-Logs
dbaa10c0,Fafa-Picault-Match-Logs
59557625,Bryce-Duke-Match-Logs
540c9a17,Ercan-Kara-Match-Logs
ae0a7ddf,DeAndre-Yedlin-Match-Logs
da4821de,Tom-Barlow-Match-Logs
21a529cf,Nicolas-Stefanelli-Match-Logs
4a54592d,Scott-Caldwell-Match-Logs
60c4ac82,Gabriel-Pereira-Match-Logs
27f33438,Thiago-Almada-Match-Logs
bd060315,Edwin-Cerrillo-Match-Logs
925a2703,Daniel-Musovski-Match-Logs
16000870,Peter-Stroud-Match-Logs
4de3b2c0,Facundo-Torres-Match-Logs
6a29d06b,Joseph-Rosales-Match-Logs
f61246d8,Jesus-Ferreira-Match-Logs
49815f34,Gregore-Match-Logs
7dce16bf,Jackson-Yueill-Match-Logs
b675e328,Lewis-Morgan-Match-Logs
9d5afdfb,Jon-Gallagher-Match-Logs
11c30a46,Carles-Gil-Match-Logs
79ab7593,Nicholas-Gioacchini-Match-Logs
016a7f95,Martin-Ojeda-Match-Logs
04e195ee,Indiana-Vassilev-Match-Logs
3ed214ff,Cesar-Araujo-Match-Logs
c570cf22,Brandon-Vazquez-Match-Logs
4501fd21,Zan-Kolmanic-Match-Logs
ea6803c7,Artur-Match-Logs
ce037639,Jasper-Loffelsend-Match-Logs
948a58c2,Zachary-Brault-Guillard-Match-Logs
b9596515,Marcelo-Silva-Match-Logs
5dc34eaa,Jonathan-Sirois-Match-Logs
41723204,Karol-Swiderski-Match-Logs
9853983f,Bobby-Wood-Match-Logs
831cf3ac,Victor-Palsson-Match-Logs
0cf321c8,Djordje-Petrovic-Match-Logs
d1d418f8,Matt-Polster-Match-Logs
106bca06,Alessandro-Schopf-Match-Logs
371645ca,Kevin-Molino-Match-Logs
c4d9567d,Drake-Callender-Match-Logs
f45eb18d,Mauricio-Pereyra-Match-Logs
bf547c54,Bill-Tuiloma-Match-Logs
366609b6,Ranko-Veselinovic-Match-Logs
c164335e,Sean-Johnson-Match-Logs
4b49ed54,Rodolfo-Pizarro-Match-Logs
09ae7f92,Gyasi-Zardes-Match-Logs
43ca2019,Amar-Sejdic-Match-Logs
