Squad_Code,Squad_Name,Text
a142c424,Hereford-Lads-Club-FC,Hereford-Lads-Club-FC-Match-Logs-All-Competitions
d8736fdd,Hereford-United,Hereford-United-Match-Logs-All-Competitions
d84aed8f,Herne-Bay-FC,Herne-Bay-FC-Match-Logs-All-Competitions
afb379f1,Hertford-Town-FC,Hertford-Town-FC-Match-Logs-All-Competitions
8768fd23,Heybridge-Swifts-FC,Heybridge-Swifts-FC-Match-Logs-All-Competitions
2923cad2,Hienghene-Sport,Hienghene-Sport-Match-Logs-All-Competitions
12d66dd7,Highgate-United-FC,Highgate-United-FC-Match-Logs-All-Competitions
8dd11e62,Highworth-Town-FC,Highworth-Town-FC-Match-Logs-All-Competitions
6484e504,Hilltop-FC,Hilltop-FC-Match-Logs-All-Competitions
524cc306,Hinckley-AFC,Hinckley-AFC-Match-Logs-All-Competitions
cfc6e778,Histon,Histon-Match-Logs-All-Competitions
0eeb3a15,Hitchin-Town-FC,Hitchin-Town-FC-Match-Logs-All-Competitions
6f641c73,Hoddesdon-Town-FC,Hoddesdon-Town-FC-Match-Logs-All-Competitions
7aea0010,Holbeach-United-FC,Holbeach-United-FC-Match-Logs-All-Competitions
e55c6443,Hollands-and-Blair-FC,Hollands-and-Blair-FC-Match-Logs-All-Competitions
5e44ecfb,Holmer-Green-FC,Holmer-Green-FC-Match-Logs-All-Competitions
23a5ee10,Holmesdale-FC,Holmesdale-FC-Match-Logs-All-Competitions
2ac661d9,Holstein-Kiel,Holstein-Kiel-Match-Logs-All-Competitions
bb6b177b,Holyport-FC,Holyport-FC-Match-Logs-All-Competitions
89a86c55,Homburg,Homburg-Match-Logs-All-Competitions
821f5b2b,Horley-Town-FC,Horley-Town-FC-Match-Logs-All-Competitions
08a8aa15,Horndean-FC,Horndean-FC-Match-Logs-All-Competitions
c7f9816b,Horsham-FC,Horsham-FC-Match-Logs-All-Competitions
25bb9f33,Horsham-YMCA-FC,Horsham-YMCA-FC-Match-Logs-All-Competitions
a0dfd307,Houilles-AC,Houilles-AC-Match-Logs-All-Competitions
76073277,HSV-Barmbek-Uhlenhorst,HSV-Barmbek-Uhlenhorst-Match-Logs-All-Competitions
ea3d42b8,HSV-Langenfeld,HSV-Langenfeld-Match-Logs-All-Competitions
f5922ca5,Huddersfield-Town,Huddersfield-Town-Match-Logs-All-Competitions
2422a597,Hullbridge-Sports-FC,Hullbridge-Sports-FC-Match-Logs-All-Competitions
bd8769d1,Hull-City,Hull-City-Match-Logs-All-Competitions
b0681010,Hungerford-Town-FC,Hungerford-Town-FC-Match-Logs-All-Competitions
ea5e2a33,Huntingdon-Town-FC,Huntingdon-Town-FC-Match-Logs-All-Competitions
c4da6515,Hyde,Hyde-Match-Logs-All-Competitions
bfc0fcdc,Hyde-United-FC,Hyde-United-FC-Match-Logs-All-Competitions
673eb768,Hyeres-FC,Hyeres-FC-Match-Logs-All-Competitions
85dd0a2f,Hythe-and-Dibden,Hythe-and-Dibden-Match-Logs-All-Competitions
54ff9fcc,Hythe-Town-FC,Hythe-Town-FC-Match-Logs-All-Competitions
