Squad_Code,Year,Name,Text
085e71a7,2022-2023,Bartlomiej-Dragowski,Bartlomiej-Dragowski-Match-Logs
7d3e7da6,2022-2023,Sven-Ulreich,Sven-Ulreich-Match-Logs
0a1cb833,2022-2023,Jiri-Pavlenka,Jiri-Pavlenka-Match-Logs
0107757e,2022-2023,Filip-Jorgensen,Filip-Jorgensen-Match-Logs
b56dd813,2022-2023,Alexander-Meyer,Alexander-Meyer-Match-Logs
9f0ea33f,2022-2023,Sergio-Asenjo,Sergio-Asenjo-Match-Logs
ab4449d6,2022-2023,Lukasz-Skorupski,Lukasz-Skorupski-Match-Logs
17376543,2022-2023,Rafal-Gikiewicz,Rafal-Gikiewicz-Match-Logs
ce17b5eb,2022-2023,Kevin-Trapp,Kevin-Trapp-Match-Logs
6a9e4913,2022-2023,Joaquin-Blazquez,Joaquin-Blazquez-Match-Logs
74419746,2022-2023,Samir-Handanovic,Samir-Handanovic-Match-Logs
f5dfc256,2022-2023,Leonardo-Cesar-Jardim,Leonardo-Cesar-Jardim-Match-Logs
ecada4fc,2022-2023,Keylor-Navas,Keylor-Navas-Match-Logs
cde52ef5,2022-2023,Ivan-Villar,Ivan-Villar-Match-Logs
7956236f,2022-2023,Emiliano-Martinez,Emiliano-Martinez-Match-Logs
3814120d,2022-2023,Bingourou-Kamara,Bingourou-Kamara-Match-Logs
9e17ccff,2022-2023,Dogan-Alemdar,Dogan-Alemdar-Match-Logs
8f8c6934,2022-2023,David-Soria,David-Soria-Match-Logs
f058ed1f,2022-2023,Gianluca-Pegolo,Gianluca-Pegolo-Match-Logs
466fb2c5,2022-2023,Aaron-Ramsdale,Aaron-Ramsdale-Match-Logs
2628fd2b,2022-2023,Bernd-Leno,Bernd-Leno-Match-Logs
3f034750,2022-2023,Ivo-Grbic,Ivo-Grbic-Match-Logs
e5a76dfe,2022-2023,Dean-Henderson,Dean-Henderson-Match-Logs
663e080e,2022-2023,Janis-Blaswich,Janis-Blaswich-Match-Logs
1e7aea56,2022-2023,Benjamin-Leroy,Benjamin-Leroy-Match-Logs
1d2d5cc8,2022-2023,Steve-Mandanda,Steve-Mandanda-Match-Logs
afb0c500,2022-2023,Alexander-Nubel,Alexander-Nubel-Match-Logs
420c18a1,2022-2023,Yann-Sommer,Yann-Sommer-Match-Logs
e1b0a70d,2022-2023,Pietro-Terracciano,Pietro-Terracciano-Match-Logs
17acc2ed,2022-2023,Marek-Rodak,Marek-Rodak-Match-Logs
7b4de647,2022-2023,Asmir-Begovic,Asmir-Begovic-Match-Logs
97852360,2022-2023,Fernando-Pacheco,Fernando-Pacheco-Match-Logs
343f753a,2022-2023,Luigi-Sepe,Luigi-Sepe-Match-Logs
8cabdc1e,2022-2023,Andrea-Consigli,Andrea-Consigli-Match-Logs
76eca7e2,2022-2023,Wayne-Hennessey,Wayne-Hennessey-Match-Logs
277da414,2022-2023,Ivan-Provedel,Ivan-Provedel-Match-Logs
28dabd43,2022-2023,Paul-Bernardoni,Paul-Bernardoni-Match-Logs
ee8508c0,2022-2023,Jan-Oblak,Jan-Oblak-Match-Logs
28d596a0,2022-2023,Kepa-Arrizabalaga,Kepa-Arrizabalaga-Match-Logs
3061e1ec,2022-2023,Andriy-Lunin,Andriy-Lunin-Match-Logs
67f649be,2022-2023,Ionut-Radu,Ionut-Radu-Match-Logs
374ee424,2022-2023,Alex-Remiro,Alex-Remiro-Match-Logs
dabb2827,2022-2023,Fernando,Fernando-Match-Logs
60d90c55,2022-2023,Brice-Samba,Brice-Samba-Match-Logs
98ea5115,2022-2023,David-Raya,David-Raya-Match-Logs
dc29b608,2022-2023,Yvon-Mvogo,Yvon-Mvogo-Match-Logs
2434f24a,2022-2023,Benoit-Costil,Benoit-Costil-Match-Logs
1e9bde92,2022-2023,Guillermo-Ochoa,Guillermo-Ochoa-Match-Logs
c91441dc,2022-2023,Gavin-Bazunu,Gavin-Bazunu-Match-Logs
0d55d942,2022-2023,Alexander-Schwolow,Alexander-Schwolow-Match-Logs
b90c4a43,2022-2023,Diant-Ramaj,Diant-Ramaj-Match-Logs
6b625ac2,2022-2023,Illan-Meslier,Illan-Meslier-Match-Logs
625c144a,2022-2023,Geronimo-Rulli,Geronimo-Rulli-Match-Logs
f6798fc3,2022-2023,Yassine-Bounou,Yassine-Bounou-Match-Logs
688b96e3,2022-2023,Juan-Carlos,Juan-Carlos-Match-Logs
8608f269,2022-2023,Matis-Carvalho,Matis-Carvalho-Match-Logs
a01c3d54,2022-2023,Aitor-Fernandez,Aitor-Fernandez-Match-Logs
4e0c8d66,2022-2023,Michele-Di-Gregorio,Michele-Di-Gregorio-Match-Logs
