Squad_Code,Year,Name,Text
206c37d3,2018-2019,Luca-Plogmann,Luca-Plogmann-Match-Logs
76806215,2018-2019,Yohann-Pele,Yohann-Pele-Match-Logs
5ee6e943,2018-2019,Marc-Aurele-Caillard,Marc-Aurele-Caillard-Match-Logs
28dabd43,2018-2019,Paul-Bernardoni,Paul-Bernardoni-Match-Logs
7a2e46a8,2018-2019,Alisson,Alisson-Match-Logs
a4527d33,2018-2019,Eiji-Kawashima,Eiji-Kawashima-Match-Logs
048877f5,2018-2019,Stefano-Sorrentino,Stefano-Sorrentino-Match-Logs
17d9e354,2018-2019,Alberto-Garcia,Alberto-Garcia-Match-Logs
08f5afaa,2018-2019,Gianluigi-Donnarumma,Gianluigi-Donnarumma-Match-Logs
3061e1ec,2018-2019,Andriy-Lunin,Andriy-Lunin-Match-Logs
c0b1a6da,2018-2019,Axel-Werner,Axel-Werner-Match-Logs
85ea4399,2018-2019,Jandrei,Jandrei-Match-Logs
514f0896,2018-2019,Salvador-Ichazo,Salvador-Ichazo-Match-Logs
b73e459a,2018-2019,Joel-Coleman,Joel-Coleman-Match-Logs
26383ea5,2018-2019,Abdoulaye-Diallo,Abdoulaye-Diallo-Match-Logs
cd59b9df,2018-2019,Gregor-Kobel,Gregor-Kobel-Match-Logs
c8a88acd,2018-2019,Silvio-Proto,Silvio-Proto-Match-Logs
73e2f6eb,2018-2019,Philipp-Tschauner,Philipp-Tschauner-Match-Logs
307fcd26,2018-2019,Andres-Fernandez,Andres-Fernandez-Match-Logs
6f51e382,2018-2019,Marc-Andre-ter-Stegen,Marc-Andre-ter-Stegen-Match-Logs
129dd8e7,2018-2019,Aleksandar-Jovanovic,Aleksandar-Jovanovic-Match-Logs
277da414,2018-2019,Ivan-Provedel,Ivan-Provedel-Match-Logs
71672fa0,2018-2019,Petr-Cech,Petr-Cech-Match-Logs
bc270726,2018-2019,Regis-Gurtner,Regis-Gurtner-Match-Logs
d0b3ceb9,2018-2019,Ben-Foster,Ben-Foster-Match-Logs
249cdcff,2018-2019,Zacharie-Boucher,Zacharie-Boucher-Match-Logs
8f62b6ee,2018-2019,Hugo-Lloris,Hugo-Lloris-Match-Logs
ac295d9e,2018-2019,Marko-Dmitrovic,Marko-Dmitrovic-Match-Logs
a92ab7be,2018-2019,Mark-Flekken,Mark-Flekken-Match-Logs
9d12e142,2018-2019,Roman-Burki,Roman-Burki-Match-Logs
f058ed1f,2018-2019,Gianluca-Pegolo,Gianluca-Pegolo-Match-Logs
63d17038,2018-2019,Paulo-Gazzaniga,Paulo-Gazzaniga-Match-Logs
da8b19e2,2018-2019,John-Ruddy,John-Ruddy-Match-Logs
79b0d6a0,2018-2019,Rui-Patricio,Rui-Patricio-Match-Logs
36c2ca73,2018-2019,Alex-McCarthy,Alex-McCarthy-Match-Logs
c73ada83,2018-2019,Will-Norris,Will-Norris-Match-Logs
ac4003af,2018-2019,Marco-Sportiello,Marco-Sportiello-Match-Logs
b056e3da,2018-2019,Ciprian-Tatarusanu,Ciprian-Tatarusanu-Match-Logs
8e65a5e5,2018-2019,Julian-Speroni,Julian-Speroni-Match-Logs
f554e29b,2018-2019,Alessio-Cragno,Alessio-Cragno-Match-Logs
d28339cb,2018-2019,Fabian-Bredlow,Fabian-Bredlow-Match-Logs
8870154f,2018-2019,Bobby-Allain,Bobby-Allain-Match-Logs
e608ed4c,2018-2019,David-Button,David-Button-Match-Logs
0a1cb833,2018-2019,Jiri-Pavlenka,Jiri-Pavlenka-Match-Logs
03760df0,2018-2019,Emiliano-Viviano,Emiliano-Viviano-Match-Logs
75751c99,2018-2019,Ivan-Cuellar,Ivan-Cuellar-Match-Logs
62ba5881,2018-2019,Stefanos-Kapino,Stefanos-Kapino-Match-Logs
8cabdc1e,2018-2019,Andrea-Consigli,Andrea-Consigli-Match-Logs
7fe12375,2018-2019,Andreas-Luthe,Andreas-Luthe-Match-Logs
60d90c55,2018-2019,Brice-Samba,Brice-Samba-Match-Logs
db401046,2018-2019,Koen-Casteels,Koen-Casteels-Match-Logs
c4f573f4,2018-2019,Andrea-Seculin,Andrea-Seculin-Match-Logs
fbefefdb,2018-2019,Fabian-Giefer,Fabian-Giefer-Match-Logs
834b5c4c,2018-2019,Matz-Sels,Matz-Sels-Match-Logs
f6db3bd5,2018-2019,Danijel-Subasic,Danijel-Subasic-Match-Logs
132bb875,2018-2019,Mauro-Goicoechea,Mauro-Goicoechea-Match-Logs
2fa2a875,2018-2019,Benjamin-Lecomte,Benjamin-Lecomte-Match-Logs
c252c705,2018-2019,Gaetan-Poussin,Gaetan-Poussin-Match-Logs
ad3389d5,2018-2019,Lukas-Hradecky,Lukas-Hradecky-Match-Logs
0d55d942,2018-2019,Alexander-Schwolow,Alexander-Schwolow-Match-Logs
343f753a,2018-2019,Luigi-Sepe,Luigi-Sepe-Match-Logs
c9cb972b,2018-2019,Jaume-Domenech,Jaume-Domenech-Match-Logs
e40d028b,2018-2019,Gianluigi-Buffon,Gianluigi-Buffon-Match-Logs
ecada4fc,2018-2019,Keylor-Navas,Keylor-Navas-Match-Logs
33887998,2018-2019,Edouard-Mendy,Edouard-Mendy-Match-Logs
8fae77ea,2018-2019,Jordi-Masip,Jordi-Masip-Match-Logs
1bebde9d,2018-2019,Michel-Vorm,Michel-Vorm-Match-Logs
76eca7e2,2018-2019,Wayne-Hennessey,Wayne-Hennessey-Match-Logs
380a15e2,2018-2019,Dimitry-Bertaud,Dimitry-Bertaud-Match-Logs
1840e36d,2018-2019,Thibaut-Courtois,Thibaut-Courtois-Match-Logs
0d85a4e8,2018-2019,Marcus-Bettinelli,Marcus-Bettinelli-Match-Logs
9328b835,2018-2019,Lukasz-Fabianski,Lukasz-Fabianski-Match-Logs
a179d516,2018-2019,Willy-Caballero,Willy-Caballero-Match-Logs
a165a577,2018-2019,Ramazan-Ozcan,Ramazan-Ozcan-Match-Logs
30223b33,2018-2019,Antonio-Mirante,Antonio-Mirante-Match-Logs
f6798fc3,2018-2019,Yassine-Bounou,Yassine-Bounou-Match-Logs
f00de885,2018-2019,Anthony-Lopes,Anthony-Lopes-Match-Logs
967f34d3,2018-2019,Ruben-Blanco,Ruben-Blanco-Match-Logs
17a1299d,2018-2019,Javier-Diaz,Javier-Diaz-Match-Logs
e4a30d8c,2018-2019,Jaroslav-Drobny,Jaroslav-Drobny-Match-Logs
fcb38f57,2018-2019,Mike-Maignan,Mike-Maignan-Match-Logs
fe558029,2018-2019,Mark-Travers,Mark-Travers-Match-Logs
4806ec67,2018-2019,Jordan-Pickford,Jordan-Pickford-Match-Logs
806f7a26,2018-2019,Rafael-Cabral,Rafael-Cabral-Match-Logs
04ac8285,2018-2019,Jasper-Cillessen,Jasper-Cillessen-Match-Logs
7b4de647,2018-2019,Asmir-Begovic,Asmir-Begovic-Match-Logs
9fa26bc2,2018-2019,Vanja-Milinkovic-Savic,Vanja-Milinkovic-Savic-Match-Logs
d822a850,2018-2019,Ben-Hamer,Ben-Hamer-Match-Logs
41bd99ea,2018-2019,Simone-Scuffet,Simone-Scuffet-Match-Logs
c476b0c0,2018-2019,Michael-Rensing,Michael-Rensing-Match-Logs
339fe0e8,2018-2019,Thomas-Strakosha,Thomas-Strakosha-Match-Logs
cb4f24c6,2018-2019,Joe-Hart,Joe-Hart-Match-Logs
8f8c6934,2018-2019,David-Soria,David-Soria-Match-Logs
a56bd2ee,2018-2019,Karl-Johan-Johnsson,Karl-Johan-Johnsson-Match-Logs
bb25c778,2018-2019,Thomas-Kraft,Thomas-Kraft-Match-Logs
dc29b608,2018-2019,Yvon-Mvogo,Yvon-Mvogo-Match-Logs
9109185e,2018-2019,Iago-Herrerin,Iago-Herrerin-Match-Logs
2628fd2b,2018-2019,Bernd-Leno,Bernd-Leno-Match-Logs
e082af5b,2018-2019,Angus-Gunn,Angus-Gunn-Match-Logs
625c144a,2018-2019,Geronimo-Rulli,Geronimo-Rulli-Match-Logs
f794b426,2018-2019,Federico-Marchetti,Federico-Marchetti-Match-Logs
7b5f516f,2018-2019,Francesco-Rossi,Francesco-Rossi-Match-Logs
939bc634,2018-2019,Jonas-Lossl,Jonas-Lossl-Match-Logs
bfb15d99,2018-2019,Koke-Vegas,Koke-Vegas-Match-Logs
8875b8c9,2018-2019,Sergio-Alvarez,Sergio-Alvarez-Match-Logs
97852360,2018-2019,Fernando-Pacheco,Fernando-Pacheco-Match-Logs
5512b1a9,2018-2019,Juan-Soriano,Juan-Soriano-Match-Logs
2642bf6c,2018-2019,Neil-Etheridge,Neil-Etheridge-Match-Logs
f0f7f62f,2018-2019,Pierluigi-Gollini,Pierluigi-Gollini-Match-Logs
4535e4bb,2018-2019,Mathew-Ryan,Mathew-Ryan-Match-Logs
2f965a72,2018-2019,Alphonse-Areola,Alphonse-Areola-Match-Logs
73683fa9,2018-2019,Diego-Lopez,Diego-Lopez-Match-Logs
28d596a0,2018-2019,Kepa-Arrizabalaga,Kepa-Arrizabalaga-Match-Logs
7ba6d84e,2018-2019,David-de-Gea,David-de-Gea-Match-Logs
581c5276,2018-2019,Asier-Riesgo,Asier-Riesgo-Match-Logs
a70b8345,2018-2019,Frederik-Ronnow,Frederik-Ronnow-Match-Logs
4a15e95b,2018-2019,Christian-Mathenia,Christian-Mathenia-Match-Logs
afb0c500,2018-2019,Alexander-Nubel,Alexander-Nubel-Match-Logs
e7ee38c3,2018-2019,Robin-Olsen,Robin-Olsen-Match-Logs
011d8c56,2018-2019,Miguel-Angel-Moya,Miguel-Angel-Moya-Match-Logs
dc366c36,2018-2019,Tomas-Koubek,Tomas-Koubek-Match-Logs
4d3e9033,2018-2019,Mathieu-Gorgelin,Mathieu-Gorgelin-Match-Logs
c977ef13,2018-2019,Alexandre-Olliero,Alexandre-Olliero-Match-Logs
ab13a5aa,2018-2019,Vicente-Guaita,Vicente-Guaita-Match-Logs
82b1198a,2018-2019,David-Ospina,David-Ospina-Match-Logs
bcf1b2e9,2018-2019,Baptiste-Reynet,Baptiste-Reynet-Match-Logs
bcb2ccd8,2018-2019,Peter-Gulacsi,Peter-Gulacsi-Match-Logs
71dac2c2,2018-2019,Pierluigi-Frattali,Pierluigi-Frattali-Match-Logs
3a949a25,2018-2019,Martin-Dubravka,Martin-Dubravka-Match-Logs
967f34d3,2019-2020,Ruben-Blanco,Ruben-Blanco-Match-Logs
8f62b6ee,2019-2020,Hugo-Lloris,Hugo-Lloris-Match-Logs
a92ab7be,2019-2020,Mark-Flekken,Mark-Flekken-Match-Logs
bc270726,2019-2020,Regis-Gurtner,Regis-Gurtner-Match-Logs
f554e29b,2019-2020,Alessio-Cragno,Alessio-Cragno-Match-Logs
a01c3d54,2019-2020,Aitor-Fernandez,Aitor-Fernandez-Match-Logs
7ba6d84e,2019-2020,David-de-Gea,David-de-Gea-Match-Logs
aae17c81,2019-2020,Samu-Perez,Samu-Perez-Match-Logs
289b90cd,2019-2020,Markus-Schubert,Markus-Schubert-Match-Logs
cde52ef5,2019-2020,Ivan-Villar,Ivan-Villar-Match-Logs
2e7ff968,2019-2020,Marwin-Hitz,Marwin-Hitz-Match-Logs
82328faf,2019-2020,Daniel-Fuzato,Daniel-Fuzato-Match-Logs
649b01d8,2019-2020,Emil-Audero,Emil-Audero-Match-Logs
7a2e46a8,2019-2020,Alisson,Alisson-Match-Logs
bcf1b2e9,2019-2020,Baptiste-Reynet,Baptiste-Reynet-Match-Logs
7f66ea09,2019-2020,Jesse-Joronen,Jesse-Joronen-Match-Logs
28d596a0,2019-2020,Kepa-Arrizabalaga,Kepa-Arrizabalaga-Match-Logs
374ee424,2019-2020,Alex-Remiro,Alex-Remiro-Match-Logs
6f51e382,2019-2020,Marc-Andre-ter-Stegen,Marc-Andre-ter-Stegen-Match-Logs
20b9f052,2019-2020,Pau-Lopez,Pau-Lopez-Match-Logs
33887998,2019-2020,Edouard-Mendy,Edouard-Mendy-Match-Logs
b056e3da,2019-2020,Ciprian-Tatarusanu,Ciprian-Tatarusanu-Match-Logs
fe471a89,2019-2020,Lorenzo-Andrenacci,Lorenzo-Andrenacci-Match-Logs
9f0ea33f,2019-2020,Sergio-Asenjo,Sergio-Asenjo-Match-Logs
e7434f04,2019-2020,Simon-Moore,Simon-Moore-Match-Logs
7b5f516f,2019-2020,Francesco-Rossi,Francesco-Rossi-Match-Logs
7b4de647,2019-2020,Asmir-Begovic,Asmir-Begovic-Match-Logs
f00de885,2019-2020,Anthony-Lopes,Anthony-Lopes-Match-Logs
307fcd26,2019-2020,Andres-Fernandez,Andres-Fernandez-Match-Logs
ce17b5eb,2019-2020,Kevin-Trapp,Kevin-Trapp-Match-Logs
1e43fad8,2019-2020,Ralf-Fahrmann,Ralf-Fahrmann-Match-Logs
fcb38f57,2019-2020,Mike-Maignan,Mike-Maignan-Match-Logs
dc29b608,2019-2020,Yvon-Mvogo,Yvon-Mvogo-Match-Logs
79b0d6a0,2019-2020,Rui-Patricio,Rui-Patricio-Match-Logs
9f5a610b,2019-2020,Wladimiro-Falcone,Wladimiro-Falcone-Match-Logs
226ddf9d,2019-2020,Moritz-Nicolas,Moritz-Nicolas-Match-Logs
f6798fc3,2019-2020,Yassine-Bounou,Yassine-Bounou-Match-Logs
8fa8f8d2,2019-2020,Runar-Alex-Runarsson,Runar-Alex-Runarsson-Match-Logs
8fae77ea,2019-2020,Jordi-Masip,Jordi-Masip-Match-Logs
82b1198a,2019-2020,David-Ospina,David-Ospina-Match-Logs
a6de6361,2019-2020,Tom-Heaton,Tom-Heaton-Match-Logs
96640846,2019-2020,Samir-Ujkani,Samir-Ujkani-Match-Logs
af245161,2019-2020,Fabricio,Fabricio-Match-Logs
f76e6b4e,2019-2020,Adrian,Adrian-Match-Logs
