Opponent
1. FC Duren
1860 Munich
Istanbulspor
Epinal
Étoile FC FSR
Aachen
Acc'ton Stanley
AD Ceuta
Adana Demirspor
AFC Wimbledon
Ajaccio
Akhisarspor
al Kukësi
Alès OL
Alanyaspor
Alavés
Albacete
Alcorcón
Alcoyano
Alessandria
Almería
Altay
am Pyunik
Amiens
Andorra
Andrézieux
Andratx
Angers
Angoulême
Ankaragücü
Antalyaspor
Ümraniyespor
Arenas Club de Getxo
Arminia
Arsenal
AS La Châtaigneraie
AS Vitré
Ascoli
ASF Andrézieux
ASM Belfort
Aston Villa
at Austria Wien
at LASK
at Rapid Wien
at RB Salzburg
at Sturm Graz
at Wolfsberger AC
Atalanta
Athlético MS
Athletic Club
Atlético Baleares
Atlético Madrid
Atlético Mancha Real
Atlético Saguntino
Atlético Sanluqueño CF
Augsburg
Auxerre
Av. Bayonne
Avellino
az Qarabağ Ağdam
az Qarabağ FK
ba FK Sarajevo
Başakşehir
Babelsberg 03
Badalona
Barcelona
Bari
Barnet
Barnsley
Barrow
Bastia
Bayern Munich
BB Erzurumspor
be Anderlecht
be Antwerp
be Club Brugge
be Genk
be Gent
be Oostende
be Standard Liège
be Union SG
be Zulte Waregem
Beşiktaş
Becerril
Benevento
Bergantiños FC
Berliner FC Dynamo
Betis
BFC Dynamo
bg CSKA Sofia
bg Loko Plovdiv
bg Ludogorets
Birmingham City
Blackburn
Blackpool
Blau-Weiß Lohne
Bochum
Bologna
Bolton
Bordeaux
Boreham Wood
Bourg Péronnas
Bourges
Bourg-Péronnas
Bournemouth
Bradford City
Braunschweig
Bremer SV
Brentford
Brescia
Brest
Brighton
Bristol City
Bristol Rovers
Burnley
Bursaspor
Burton Albion
Bury
by BATE Borisov
by Shakhtyor
C. Franciscain
CA Antoniano
Cádiz
Córdoba
Caen
Cagliari
Cambridge Utd
Cardiff City
Carl Zeiss Jena
Carpi
Cartagena
Catania
Catanzaro
CD Algar
CD Anaitasuna
CD Arenteiro
CD Arnedo
CD Autol
CD Buñol
CD Cantolagua
CD Cazalegas
CD Coria
CD Cristo Atlético
CD Diocesano
CD Eldense
CD Fuentes
CD Guijuelo
CD L'Alcora
CD Mirandés
CD Peña Azagresa
CD Ribadumia
CD Rincón
CD San Roque de Lepe
CD Santa Amalia
CD Utrillas
CD Villa de Fortuna
CE Cardassar
Celta Vigo
CF Independiente Alicante
CF La Nucía
CF Panadería Pulido
CF San Agustín de Guadalix
CF Talavera de la Reina
CFJ Mollerussa
ch Basel
ch Luzern
ch Servette FC
ch Young Boys
ch Zürich
Châteaubriant
Châteauroux
Chambly Oise
Charlton Ath
Chelsea
Cheltenham
Chemnitzer FC
Chesterfield
Chievo
Chorley
Cittadella
Ciudad de Lucena
Clermont Foot
Club Deportivo Atlético Paso
Club Portugalete
Colchester Utd
Comillas
Como
Cornellà
Cosenza
Coventry City
CP Cacereño
Crawley Town
Cremonese
Crewe Alexandra
Crotone
Crystal Palace
cy AÉK Lárnaka
cy AC Omonia
cy APOEL
cy APOEL FC
cy Apollon
cy Apollon Limassol
cz Jablonec
cz Sigma Olomouc
cz Slavia Prague
cz Slovácko
cz Slovan Liberec
cz Sparta Prague
cz Viktoria Plzeň
Düsseldorf
Darmstadt 98
de Bayern Munich
de Dortmund
de Eint Frankfurt
de Freiburg
de Hertha BSC
de Hoffenheim
de Köln
de Leverkusen
de M'Gladbach
de RB Leipzig
de Schalke 04
de Wolfsburg
Derby County
Dieppois
Dijon
Dinan-Léhon
dk Brøndby
dk FC Copenhagen
dk Midtjylland
dk Randers
dk Silkeborg
dk Viborg
Doncaster
Dorfmerkingen
Dortmund
Dresden
Drochtersen/A
Dunkerque
Ebro
ee Flora
EF Reims
Eibar
Eichstätt
Eint Frankfurt
Eintracht Celle
Eintracht Norderstedt
El Álamo
El Palmar
Elche
Elversberg
Empoli
Energie Cottbus
eng Arsenal
eng Chelsea
eng Everton
eng Leicester City
eng Liverpool
eng Manchester City
eng Manchester Utd
eng Tottenham
eng West Ham
eng Wolves
Entente SSG
Erndtebrück
Erzgebirge Aue
es Athletic Club
es Atlético Madrid
es Barcelona
es Betis
ES Cannet-Rocheville
es Espanyol
es Getafe
es Granada
es Real Madrid
es Real Sociedad
es Sevilla
es Valencia
es Villarreal
Espanyol
Everton
Exeter City
Fatih Karagümrük
FC Loon-Plage
FC Rouen
FC Teutonia Ottensen
FCO Strasbourg Koenigshoffen 06
FeralpiSalò
FG Rovers
fi HJK
fi KuPS
Fiorentina
Fleetwood Town
Foggia
fr Lille
fr Lyon
fr Marseille
fr Monaco
fr Nantes
fr Nice
fr Paris S-G
fr Rennes
fr Saint-Étienne
fr Strasbourg
Freiburg
Frosinone
Fuenlabrada
Fulham
Göztepe
Galatasaray
Gazélec Ajaccio
Gaziantep FK
Genoa
Gernika Club
Getafe
Gillingham
Gimnàstic
Gimnástica Segoviana
Giresunspor
Girona
Gonfreville
gr AEK Athens
gr Olympiacos
gr Panathinaikos
gr PAOK
Granada
Granville
Greifswalder SV 04
Grenoble
Greuther Fürth
Grimsby Town
GSI Pontivy
Guadalajara
Guingamp
Halberstadt
Hallescher
Hamburger SV
Hannover 96
Hansa Rostock
Haro Deportivo
Hartlepool Utd
Hastedt
Hatayspor
Heidenheim
Hellas Verona
Hertha BSC
Hoffenheim
Holstein Kiel
hr Dinamo Zagreb
hr Hajduk Split
hr Rijeka
hu Újpest
hu Debrecen
hu Ferencváros
hu Vidi
Huddersfield
Huesca
Hull City
Hyères FC
Ibiza
ie Dundalk
ie Shamrock Rov
il Be'er Sheva
il Hapoel Haifa FC
il Maccabi Haifa
il Maccabi Tel Aviv
Ingolstadt 04
Inter
Intercity
Ipswich Town
is Stjarnan
it Atalanta
it Inter
it Juventus
it Lazio
it Milan
it Napoli
it Roma
it Torino
Jahn R'burg
JS Chemin Bas d'Avignon
Jura Sud Foot
Juventud Torremolinos CF
Juventus
Köln
Kaiserslautern
Karlsruher
Kasımpaşa
Kayserispor
Kidderminster
Konyaspor
kz Astana FK
kz FC Astana
La Coruña
Lübeck
Lannion FC
Las Palmas
Lazio
Le Mans
Le Puy Foot 43
Lecce
Leeds United
Leganés
Leher
Leicester City
Lens
Leonesa
Les Herbiers
Levante
Leverkusen
Leyton Orient
li Vaduz
Lille
Linares
Linas-Montl.
Lincoln City
Liverpool
Lleida
Loko Leipzig
Lorca Deportiva
Lorient
LSK Hansa
lt Žalgiris
lu F91 Dudelange
Luton Town
lv FK Rīgas FS
Lyon
Málaga
Mérida AD
Macclesfield
Magdeburg
Mainz 05
Majadahonda
Mallorca
Manchester City
Manchester Utd
Marbella
Marine
Marseille
md Sheriff Tiraspol
Melilla
Meppen
Metz
M'Gladbach
Middlesbrough
Milan
Millwall
MK Dons
mk FK Shkëndija
mk FK Vardar
mk Shkëndija 79
Modena
Monaco
Montpellier
Monza
Morecambe
MSV Duisburg
Nîmes
Nürnberg
Nancy
Nantes
Napoli
Newcastle Utd
Newport County
Nice
Niort
nir Crusaders
nl Ajax
nl AZ Alkmaar
nl Feyenoord
nl PSV Eindhoven
nl Twente
nl Vitesse
no Bodø/Glimt
no Molde
no Rosenborg
Norderstedt
Norwich City
Nott'ham Forest
Novara
Numancia
Oberneuland
Oldham Athletic
Orihuela CF
Orléans
Osasuna
Osnabrück
Oviedo
Oxford United
Paderborn 07
Padova
Palermo
Paris FC
Paris S-G
Parma
Pau FC
P'borough Utd
Peña Deportiva
Perpignan Canet FC
Perugia
Pescara
Pforzheim
Pisa
pl Lech Poznań
pl Legia Warsaw
Plymouth Argyle
Ponferradina
Pontarlier
Pontevedra
Pordenone
Port Vale
Portsmouth
Preston
Preußen Münster
pt Benfica
pt Braga
